node,sf,time
95.0,7.0,42249.690708230584
97.0,8.0,42276.500703384896
52.0,7.0,42359.52999122142
78.0,8.0,42410.16152702549
82.0,7.0,42624.709863218195
13.0,8.0,42627.99154159955
15.0,7.0,42698.57866602648
66.0,7.0,42722.84394061192
76.0,9.0,42725.027582518036
98.0,8.0,43019.55250369308
97.0,8.0,43172.34838399612
35.0,8.0,43181.48208821458
18.0,9.0,43076.16205453215
80.0,7.0,43311.7183095675
44.0,10.0,42987.64197052616
47.0,7.0,43504.14417468167
67.0,9.0,43553.60708499986
5.0,8.0,43712.85850520673
47.0,7.0,43893.32414560222
64.0,8.0,43899.19397366457
99.0,12.0,42333.56388270087
13.0,8.0,43991.19059540352
80.0,7.0,44066.356729987485
53.0,7.0,44454.85132109097
64.0,8.0,44424.75907523732
13.0,8.0,44606.41175576412
72.0,9.0,44632.382935558315
69.0,7.0,45054.409309122646
78.0,8.0,45303.432241179
28.0,7.0,45801.07294873152
24.0,7.0,45922.202064939076
7.0,9.0,45893.677018054674
65.0,7.0,46504.84722435978
61.0,8.0,46688.72829980164
84.0,7.0,46816.197962817256
70.0,7.0,46882.91852143141
98.0,8.0,47142.98593417686
34.0,8.0,47295.983367610585
81.0,9.0,47237.17588237848
85.0,7.0,47743.057781380376
48.0,7.0,47796.468637650236
2.0,7.0,47806.296300871065
75.0,7.0,47820.205927888666
12.0,9.0,47718.68305490954
83.0,9.0,47786.26669820607
0.0,8.0,48263.51789935173
87.0,7.0,48412.68532208573
33.0,7.0,48730.52336957713
60.0,7.0,48804.571792254676
54.0,8.0,48875.832152845425
87.0,7.0,49069.437177300286
2.0,7.0,49070.54869822738
26.0,7.0,49383.87508332488
31.0,8.0,49504.83180587877
69.0,7.0,49588.894687522006
93.0,8.0,49532.450575224866
9.0,10.0,49292.88401667254
28.0,7.0,49804.066473557345
45.0,8.0,49773.10316178483
82.0,7.0,50247.69632734198
98.0,8.0,50266.266628127574
51.0,7.0,50348.2113864123
24.0,7.0,50502.83253344316
68.0,8.0,50540.597830333165
99.0,12.0,49041.27814798257
79.0,11.0,49809.656648263015
52.0,7.0,51111.57060813279
76.0,9.0,50956.39155164002
6.0,9.0,51044.67598396037
89.0,9.0,51053.93959541059
8.0,7.0,51533.25813027459
39.0,10.0,51140.95346034634
91.0,7.0,51561.27263591408
59.0,10.0,51302.85075995111
43.0,11.0,51039.506006144155
66.0,7.0,52407.75027252916
2.0,7.0,52429.664650589584
75.0,7.0,52500.089890854666
7.0,9.0,52446.7938167789
35.0,8.0,52630.075795812896
60.0,7.0,52873.25320029601
2.0,7.0,52968.07280959043
73.0,8.0,53064.668233908524
55.0,7.0,53187.20798076818
25.0,9.0,53142.71449289015
19.0,11.0,52432.91970682149
55.0,7.0,53987.66977715987
61.0,8.0,54171.507701585855
65.0,7.0,54286.152761443234
49.0,8.0,54260.4872272196
77.0,7.0,54715.99160951412
8.0,7.0,54808.50100280143
65.0,7.0,54861.717852814894
44.0,10.0,54491.28215678192
34.0,8.0,54848.47209107057
1.0,8.0,55172.03741323097
65.0,7.0,55306.98946937078
7.0,9.0,55206.66154170836
29.0,9.0,55245.93273311693
67.0,9.0,55254.50175296288
69.0,7.0,55577.02471027631
38.0,7.0,55661.79398790767
54.0,8.0,55774.79719769407
33.0,7.0,55865.55326272239
36.0,7.0,56131.58526749841
50.0,7.0,56156.17987384846
98.0,8.0,56109.940779654346
12.0,9.0,56294.137904895586
65.0,7.0,56472.578512585176
45.0,8.0,56692.86730342294
36.0,7.0,56802.69613948317
92.0,7.0,56847.53564910547
16.0,7.0,56991.80846043316
80.0,7.0,57104.567546858096
75.0,7.0,57175.452597571726
67.0,9.0,57130.89205757806
63.0,8.0,57304.03893837638
51.0,7.0,57484.60211498769
10.0,12.0,56046.06569090973
45.0,8.0,57747.74836414464
50.0,7.0,57841.457666352864
14.0,7.0,57896.53052405692
7.0,9.0,58051.39745013225
95.0,7.0,58240.55710764099
51.0,7.0,58467.35684616485
13.0,8.0,58688.94770049704
3.0,10.0,58530.6257873439
46.0,9.0,59105.51277063557
53.0,7.0,59405.254389687034
10.0,12.0,57792.95910264919
80.0,7.0,59470.28876807353
87.0,7.0,60136.04908456266
37.0,7.0,60188.931110456615
9.0,10.0,59797.01105047317
85.0,7.0,60247.81990572616
30.0,7.0,60359.645129013035
64.0,8.0,60326.143144327696
65.0,7.0,60648.96065825156
25.0,9.0,60641.8664635104
36.0,7.0,60920.7279530259
99.0,12.0,59341.84965117812
82.0,7.0,60991.36892618373
78.0,8.0,61082.6282166212
42.0,7.0,61284.08334570458
8.0,7.0,61337.816771191356
85.0,7.0,61672.80794569882
48.0,7.0,61805.60161013709
79.0,11.0,60896.75046330691
7.0,9.0,61686.43801416678
92.0,7.0,62142.584972091085
38.0,7.0,62170.8204742665
1.0,8.0,62188.51673109269
52.0,7.0,62307.86555352482
43.0,11.0,61418.22640234502
64.0,8.0,62274.84401752867
3.0,10.0,62199.51742564026
71.0,8.0,62722.216851116
2.0,7.0,63694.85650309706
61.0,8.0,64023.64962441657
34.0,8.0,64588.02493330833
4.0,8.0,64816.046754482115
50.0,7.0,64929.16967053395
59.0,10.0,64524.39325925794
86.0,8.0,64995.793681173614
82.0,7.0,65160.759492900084
1.0,8.0,65213.14298473651
82.0,7.0,65356.05335474071
65.0,7.0,65514.267824125505
62.0,10.0,65167.22985449218
2.0,7.0,65701.19375603067
73.0,8.0,65929.67402970242
40.0,7.0,66028.61124323875
60.0,7.0,66042.69801435168
99.0,12.0,64458.75534272678
81.0,9.0,66094.52545137898
36.0,7.0,66503.81670782616
57.0,7.0,66789.19529021831
36.0,7.0,66828.05031752717
71.0,8.0,67077.70596603624
15.0,7.0,67147.50603758973
78.0,8.0,67382.76178974951
53.0,7.0,67476.86415003399
29.0,9.0,67322.8374238938
86.0,8.0,67532.8306474365
47.0,7.0,67724.27591430322
14.0,7.0,67781.8094816916
83.0,9.0,67642.88815658342
87.0,7.0,68070.30113799714
73.0,8.0,68249.56514380807
72.0,9.0,68679.46709580207
32.0,8.0,69324.4205514814
42.0,7.0,69473.13571556433
29.0,9.0,69311.22907347487
18.0,9.0,69376.80475309187
46.0,9.0,69632.38465626998
22.0,8.0,69788.750386229
58.0,7.0,69863.97888966244
10.0,12.0,68365.97347452455
37.0,7.0,70132.21163068688
23.0,7.0,70539.8064914679
59.0,10.0,70515.49585610049
77.0,7.0,71025.51921731568
26.0,7.0,71124.30069091203
20.0,7.0,71149.95994230272
3.0,10.0,70742.7897263009
81.0,9.0,71095.05059163194
77.0,7.0,71332.65030124946
15.0,7.0,71514.2272105426
1.0,8.0,71471.36849050039
93.0,8.0,71604.77454248833
75.0,7.0,71669.14035100277
14.0,7.0,71803.28404558866
48.0,7.0,71886.6981044044
2.0,7.0,71986.75342163297
65.0,7.0,71996.00626040065
23.0,7.0,72027.41120125879
17.0,8.0,72144.10679544207
63.0,8.0,72244.5995035657
61.0,8.0,72403.07781154226
7.0,9.0,72354.47857736741
6.0,9.0,72732.59885531056
15.0,7.0,72922.09752242043
92.0,7.0,72931.54130114806
46.0,9.0,72766.58868159077
37.0,7.0,72953.1137446063
90.0,7.0,72989.41733593958
58.0,7.0,73047.66008570771
85.0,7.0,73150.949206464
9.0,10.0,72839.63483569719
89.0,9.0,73131.40673474387
11.0,7.0,73315.11994237044
58.0,7.0,73378.9630155959
80.0,7.0,73710.60221936257
35.0,8.0,73659.66678554227
20.0,7.0,73972.38963419216
30.0,7.0,74381.19456932797
33.0,7.0,74639.48986553084
91.0,7.0,74692.32466987058
61.0,8.0,74662.58757977503
2.0,7.0,74735.83796516957
71.0,8.0,75050.10525016514
49.0,8.0,75120.88537743411
12.0,9.0,75054.25654835447
32.0,8.0,75266.06064498822
41.0,7.0,75526.54324591109
68.0,8.0,75829.53458164312
67.0,9.0,75736.68535532404
22.0,8.0,75852.90341250483
37.0,7.0,75916.08662116787
24.0,7.0,75920.498199458
69.0,7.0,76093.99984446602
52.0,7.0,76100.64365047078
1.0,8.0,76360.05707535119
84.0,7.0,76463.82976576452
98.0,8.0,76430.13568912933
15.0,7.0,76647.5922128049
39.0,10.0,76256.05292574049
85.0,7.0,76936.91385315768
51.0,7.0,77044.36251847952
47.0,7.0,77165.28016250169
97.0,8.0,77276.70562092369
63.0,8.0,77335.91194146498
77.0,7.0,77416.22634774061
68.0,8.0,77550.77367212946
60.0,7.0,77793.77388775528
19.0,11.0,77078.29057367696
41.0,7.0,78277.91473395331
58.0,7.0,78324.89728968375
0.0,8.0,78366.12467919207
77.0,7.0,78529.85675737076
44.0,10.0,78291.69227817086
99.0,12.0,77115.40858661903
8.0,7.0,78919.39309789048
60.0,7.0,78938.058261563
87.0,7.0,79104.68732846099
47.0,7.0,79201.74000848646
57.0,7.0,79342.46887044422
19.0,11.0,78436.55568633736
38.0,7.0,79371.28252915284
16.0,7.0,79403.58567561937
48.0,7.0,79536.56280269029
98.0,8.0,79771.45519055048
30.0,7.0,80006.96711900091
47.0,7.0,80243.4397734956
82.0,7.0,80440.60777371861
66.0,7.0,80736.72665521767
45.0,8.0,80837.50669465381
13.0,8.0,80888.52062654076
79.0,11.0,80076.23132961776
36.0,7.0,81040.91639253704
80.0,7.0,81160.83795121455
46.0,9.0,81005.48755880338
9.0,10.0,80963.40144100678
18.0,9.0,81394.94006734283
27.0,10.0,81267.10846948411
16.0,7.0,81997.08638228843
9.0,10.0,81706.74717467105
89.0,9.0,81960.35332623069
28.0,7.0,82220.90630620565
71.0,8.0,82289.94960658172
87.0,7.0,82365.27340683856
52.0,7.0,82591.4283310092
75.0,7.0,82930.7759537983
29.0,9.0,82942.80334547457
73.0,8.0,83074.70467498075
50.0,7.0,83138.57437903233
60.0,7.0,83345.78464312517
73.0,8.0,83383.54479419645
22.0,8.0,83406.1714455872
38.0,7.0,83499.98989496808
41.0,7.0,83873.29461455616
68.0,8.0,84072.24716900245
99.0,12.0,82561.17276959612
1.0,8.0,84294.11647965711
69.0,7.0,84409.42617784641
7.0,9.0,84417.50595646238
69.0,7.0,84945.10797739822
25.0,9.0,84851.45106613595
93.0,8.0,85013.46623785661
61.0,8.0,85054.82134049178
49.0,8.0,85276.51956858154
9.0,10.0,85034.48888641587
10.0,12.0,83908.40667044796
46.0,9.0,85382.06526705812
29.0,9.0,85700.83500843769
45.0,8.0,85936.74311188134
52.0,7.0,86089.38638083969
5.0,8.0,86028.87652440366
3.0,10.0,85988.02210306657
57.0,7.0,86405.74367862575
88.0,9.0,86277.09961677413
87.0,7.0,86684.55163917874
96.0,7.0,86692.03505052616
31.0,8.0,86793.10479892636
20.0,7.0,86958.49423077879
63.0,8.0,86932.52784877048
1.0,8.0,86984.26246909071
31.0,8.0,87234.47414624802
38.0,7.0,87413.22753198462
54.0,8.0,87369.93117844703
82.0,7.0,87469.66725196005
90.0,7.0,87836.65531006591
66.0,7.0,88301.57504454459
11.0,7.0,88449.43269905991
33.0,7.0,88483.8769923899
62.0,10.0,88181.32000709312
34.0,8.0,88609.573500509
23.0,7.0,88712.30135406493
52.0,7.0,88801.64956765833
41.0,7.0,88825.77369018133
88.0,9.0,88837.15518549013
19.0,11.0,88100.25807317275
17.0,8.0,88982.24902529696
58.0,7.0,89121.60822899628
98.0,8.0,89098.283800998
11.0,7.0,89271.2680821861
38.0,7.0,89695.4192019742
37.0,7.0,89901.98282812131
67.0,9.0,89827.18124874488
27.0,10.0,89785.47349851625
56.0,7.0,90203.67563321273
33.0,7.0,90304.99590521649
51.0,7.0,90523.12546323017
58.0,7.0,90740.28573952097
22.0,8.0,90707.93787618552
20.0,7.0,91023.51550312967
66.0,7.0,91253.28709261956
75.0,7.0,91403.74863874573
51.0,7.0,91443.02045680716
71.0,8.0,91418.03325678986
32.0,8.0,91516.98685957701
22.0,8.0,91591.1819654765
91.0,7.0,91872.8574199803
97.0,8.0,92217.19381249737
28.0,7.0,92481.71050654762
12.0,9.0,92616.14902908649
40.0,7.0,92827.75327010233
35.0,8.0,92769.23238573763
90.0,7.0,93206.0947903346
32.0,8.0,93470.1483568468
34.0,8.0,93574.7897022297
42.0,7.0,93857.23814639766
79.0,11.0,93068.85786058586
68.0,8.0,93928.42714382538
40.0,7.0,94051.07369170633
13.0,8.0,94154.85564117003
14.0,7.0,94274.99315709334
64.0,8.0,94353.39701410968
93.0,8.0,94533.60486438625
59.0,10.0,94283.98846544925
32.0,8.0,95214.1510211138
63.0,8.0,95275.61415580285
25.0,9.0,95256.7775761642
87.0,7.0,95501.48595630066
14.0,7.0,95652.76750600214
66.0,7.0,95730.64922076339
17.0,8.0,95756.17024125413
56.0,7.0,95835.71910719537
73.0,8.0,95789.31715991329
51.0,7.0,96645.22817610102
93.0,8.0,96736.95754122443
74.0,7.0,96879.59675224405
21.0,11.0,96128.63509386277
90.0,7.0,97205.32780324647
59.0,10.0,97133.10262736045
42.0,7.0,97786.34540629163
40.0,7.0,97809.10796925657
42.0,7.0,98009.70352987824
3.0,10.0,97668.33714754251
60.0,7.0,98253.97361437882
50.0,7.0,98697.4692759318
97.0,8.0,98786.74560259476
6.0,9.0,98815.98345459683
82.0,7.0,98987.14143487543
65.0,7.0,99261.64059581474
20.0,7.0,99289.79939941564
24.0,7.0,99367.47488555528
9.0,10.0,99058.86135571984
16.0,7.0,99623.05186566737
77.0,7.0,99645.03268861926
68.0,8.0,99642.67262275773
96.0,7.0,99982.38277654783
82.0,7.0,99990.84793795939
64.0,8.0,99940.66211783362
76.0,9.0,99879.8361319629
20.0,7.0,100122.2863927784
21.0,11.0,99339.60815077242
72.0,9.0,100092.1203703855
86.0,8.0,100515.4650464645
74.0,7.0,100724.91448318472
34.0,8.0,100789.6999320167
73.0,8.0,100800.85357666653
81.0,9.0,100780.25774667303
67.0,9.0,100894.59661294441
60.0,7.0,101070.84669933276
85.0,7.0,101341.58149698889
97.0,8.0,101312.95274639706
51.0,7.0,101398.22029454628
27.0,10.0,101114.1330440596
96.0,7.0,101548.11660798351
92.0,7.0,101598.80728112649
29.0,9.0,101751.61272821588
14.0,7.0,101973.25915317841
59.0,10.0,101936.01267005515
36.0,7.0,102468.10007104422
6.0,9.0,102332.89644584396
4.0,8.0,102641.32153563348
73.0,8.0,102670.92474719332
92.0,7.0,102821.6310818344
49.0,8.0,102838.38652558511
25.0,9.0,102908.21588802236
22.0,8.0,103073.11238982194
37.0,7.0,103237.32218931193
97.0,8.0,103795.5553091755
27.0,10.0,103517.50960707913
45.0,8.0,103889.9389184636
48.0,7.0,104111.42893140863
59.0,10.0,103887.30439060053
77.0,7.0,104543.65658882156
98.0,8.0,104713.20305859135
18.0,9.0,104781.17441717026
36.0,7.0,104986.67530235207
33.0,7.0,105382.88352494482
24.0,7.0,105497.76771338134
48.0,7.0,105515.54596537446
93.0,8.0,105515.730799375
53.0,7.0,105670.6939304283
39.0,10.0,105275.31674387485
21.0,11.0,104829.43046102746
34.0,8.0,106025.84928690012
88.0,9.0,105975.39051793789
22.0,8.0,106223.25007844927
0.0,8.0,106365.60482299591
88.0,9.0,106793.6399397984
8.0,7.0,107162.78022958207
15.0,7.0,107378.01400235668
39.0,10.0,106979.42895903885
63.0,8.0,107425.7946684735
48.0,7.0,107580.48177399735
37.0,7.0,107647.33837784916
75.0,7.0,107789.17141074166
26.0,7.0,107798.64228612141
23.0,7.0,107911.45770668631
80.0,7.0,107927.20569078127
53.0,7.0,108008.48471981651
36.0,7.0,108039.0576250647
64.0,8.0,108010.7585167089
1.0,8.0,108083.5349560428
80.0,7.0,108251.32755911877
39.0,10.0,107853.66378349996
85.0,7.0,108377.15069001917
34.0,8.0,108399.31284619196
47.0,7.0,108472.0791744811
37.0,7.0,108481.22986030421
11.0,7.0,108558.80791913054
43.0,11.0,107672.80180162127
96.0,7.0,108595.01751086852
77.0,7.0,108658.73750161353
2.0,7.0,108852.8360840882
92.0,7.0,108894.49504905978
87.0,7.0,108969.00338212898
99.0,12.0,107418.12231820691
29.0,9.0,108996.91929020293
44.0,10.0,108963.40105221896
31.0,8.0,109369.14868672859
50.0,7.0,109462.45641111872
0.0,8.0,109488.66417707218
70.0,7.0,109613.02121389544
32.0,8.0,109666.8640131077
77.0,7.0,109765.57100407219
62.0,10.0,109391.70600911253
36.0,7.0,109873.89228251763
67.0,9.0,109965.18256553085
69.0,7.0,110190.00996787901
68.0,8.0,110168.01550536556
27.0,10.0,109845.19400293032
47.0,7.0,110435.39178501855
9.0,10.0,110079.88777408897
91.0,7.0,110503.21453887325
95.0,7.0,110505.80813614387
37.0,7.0,110622.64623930374
84.0,7.0,110714.1761666922
57.0,7.0,110918.01402076679
65.0,7.0,110936.55071331796
73.0,8.0,110944.44483077864
78.0,8.0,111044.2565138794
96.0,7.0,111227.21864387822
90.0,7.0,111234.8240825357
16.0,7.0,111383.31017083344
56.0,7.0,111557.37687384039
15.0,7.0,111651.69209274038
75.0,7.0,111809.767687221
92.0,7.0,111886.17652386465
37.0,7.0,111891.0560996406
20.0,7.0,111960.20249436224
38.0,7.0,112091.5720905893
76.0,9.0,111999.66669738828
64.0,8.0,112120.4164805897
48.0,7.0,112470.30018197428
83.0,9.0,112433.40719442542
60.0,7.0,112713.79588704335
61.0,8.0,112758.27986993987
35.0,8.0,112770.98507225262
17.0,8.0,112774.30202378496
10.0,12.0,111231.29370187774
